Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,std_20,Bollinger_Band_Upper,Bollinger_Band_Lower,%K,%D,TR,ATR,Daily returns,Weekly returns,Label
2013-05-07,293.75,294.375,290.59375,293.6000061035156,227.17897033691406,6983104,302.5234375,302.0050113856314,57.13701483421352,-16.392485340419853,-18.111521659341193,31.55347001162971,365.6303775232594,239.41649747674057,95.20470691703217,48.9332219530682,3.78125,6.549111502511161,0.003289031160856215,0.05360426922469119,1
2013-05-08,295.625,297.5,292.2562561035156,293.83123779296875,227.3578643798828,7278352,299.3034362792969,301.2265567577588,51.785694151816884,-15.046121460000109,-17.498441619472977,28.728889156032565,356.761214591362,241.84565796723174,84.87108368234536,71.80069384911751,5.243743896484375,5.557593209402902,0.0007875738577867164,0.051533227622244215,1
2013-05-09,293.98748779296875,296.11248779296875,293.75,295.17498779296875,228.39768981933594,4561424,296.36281127929686,300.6502168563502,61.127243553926185,-13.712618460127032,-16.74127698760379,25.68573786097766,347.7342870012522,244.99133555734153,90.41232079574742,90.16270379837495,2.36248779296875,5.261609758649554,0.004573203346564414,0.03266714163071249,0
2013-05-10,295.26251220703125,298.125,294.63751220703125,296.4437561035156,229.3793487548828,4534040,293.8953109741211,300.24960154655645,65.09466865340994,-12.410369709412237,-15.87509553196548,22.907367175233116,339.7100453245873,248.08057662365488,93.24123056689699,89.50821168166323,3.48748779296875,4.957591465541294,0.0042983598306669535,0.02755696570627819,0
2013-05-13,294.375,295.26873779296875,291.2875061035156,292.45001220703125,226.28912353515625,5014960,290.91999969482424,299.5067835142207,57.066994074124146,-11.567249891228016,-15.013526403817988,18.38788226323658,327.6957642212974,254.1442351683511,77.18597872173368,86.94651002812601,5.15625,4.953574044363839,-0.013472180858111193,-0.0006407244190462791,1
2013-05-14,292.1625061035156,296.3500061035156,292.1625061035156,293.7562561035156,227.2998809814453,4484448,287.3784378051758,298.9591142370107,69.54428272923809,-10.670663627219085,-14.144953848498208,6.301468101734512,299.9813740086448,274.77550160170676,82.43721046639448,84.2881399183417,4.1875,4.608485630580357,0.004466554426264313,0.0005321866374379258,1
2013-05-15,294.125,296.5874938964844,293.42498779296875,295.0562438964844,228.3057861328125,8893176,287.7771881103516,298.5874122998177,68.69764012759283,-9.74290426734882,-13.264543932268332,6.529857929127903,300.8369039686074,274.7174722520958,87.66329204616834,82.4288270780988,3.162506103515625,4.6004486083984375,0.00442539610972803,0.004169080567188566,1
2013-05-16,294.1875,294.9750061035156,289.15625,291.57501220703125,225.6120147705078,6991752,287.7368759155273,297.91956467193324,70.49634361002323,-9.182702119972646,-12.448175569809196,6.502369492164128,300.74161489985556,274.7321369311991,73.66839078203517,81.25629776486598,5.899993896484375,4.672768729073661,-0.011798535911256458,-0.012196072617312925,1
2013-05-17,292.11248779296875,296.125,291.875,293.96875,227.46424865722656,6431752,288.08375091552733,297.54329660793957,76.94239646953392,-8.448197683472813,-11.64817999254192,6.646199042743254,301.37614900101386,274.7913528300408,83.29145728643216,81.54104670487853,4.54998779296875,4.682588849748884,0.008209680846275935,-0.008348990500077758,0
2013-05-20,293.25,297.875,293.0,296.5062561035156,229.42770385742188,8758288,288.63500061035154,297.4445308456135,77.20606299740179,-7.574033348231239,-10.833350663679784,6.872352674005986,302.3797059583635,274.8902952623396,92.04548692393402,83.00177833080043,4.875,4.470088413783482,0.008631890646592977,0.013869870840056198,1
2013-05-21,296.2749938964844,302.1312561035156,295.8687438964844,299.70001220703125,231.89892578125,5660128,289.2718765258789,297.65933859431993,78.77556113399194,-6.548060423778793,-9.976292615699586,7.286903820638829,303.84568416715655,274.69806888460124,89.25714116192297,88.1980284574297,6.26251220703125,4.737498692103794,0.010771294155765165,0.020233632407886892,0
2013-05-22,300.0,304.125,297.28125,298.1625061035156,230.70936584472656,6245672,290.1515640258789,297.7072593094814,70.30481403870054,-5.79226377129703,-9.139486846819075,7.242790846878954,304.6371457196368,275.66598233212096,69.18608777388926,83.4962386199154,6.84375,4.726337977818081,-0.005130150286592361,0.010527695215021504,0
2013-05-23,297.0,302.40625,294.51873779296875,294.98126220703125,228.24771118164062,5100584,290.76156463623045,297.4476405378195,60.50611291169119,-5.387881134783925,-8.389165704412045,7.101759628390879,304.9650838930122,276.5580453794487,38.9144865605428,65.78590516545165,7.88751220703125,4.880802699497768,-0.010669496772273246,0.011682242501567242,0
